sensor_combination,model,fold,n_train,n_test,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
Accelerometer,Gradient Boosting,1,48,12,0.4166666666666667,0.5,0.5777777777777778,0.5,0.41005291005291006,0.37896825396825395,0.24445060351935238
Accelerometer,Gradient Boosting,2,48,12,0.5833333333333334,0.5555555555555555,0.7111111111111111,0.5555555555555555,0.5572390572390572,0.5997474747474747,0.384136662673268
Accelerometer,Gradient Boosting,3,48,12,0.5833333333333334,0.4444444444444444,0.3666666666666667,0.4444444444444444,0.3833333333333333,0.47500000000000003,0.3
Accelerometer,Gradient Boosting,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Accelerometer,Gradient Boosting,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,0.9142857142857143,0.8764598212022147
Accelerometer,XGBoost,1,48,12,0.5,0.5,0.5555555555555555,0.5,0.48148148148148145,0.5277777777777778,0.3
Accelerometer,XGBoost,2,48,12,0.6666666666666666,0.611111111111111,0.7380952380952381,0.611111111111111,0.6135531135531136,0.6524725274725275,0.4654746681256314
Accelerometer,XGBoost,3,48,12,0.5833333333333334,0.4444444444444444,0.3666666666666667,0.4444444444444444,0.3833333333333333,0.47500000000000003,0.3
Accelerometer,XGBoost,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Accelerometer,XGBoost,5,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
EMG,Logistic Regression,1,48,12,0.6666666666666666,0.6666666666666666,0.7555555555555555,0.6666666666666666,0.6388888888888888,0.6458333333333334,0.48890120703870477
EMG,Logistic Regression,2,48,12,0.8333333333333334,0.7777777777777777,0.8412698412698413,0.7777777777777777,0.7965811965811965,0.8282051282051283,0.7333518105580571
EMG,Logistic Regression,3,48,12,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6015873015873016,0.6595238095238095,0.47193990372426947
EMG,Logistic Regression,4,48,12,0.5,0.3333333333333333,0.25,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.14907119849998599
EMG,Logistic Regression,5,48,12,0.5833333333333334,0.5555555555555555,0.5793650793650794,0.5555555555555555,0.5606837606837606,0.5743589743589744,0.3142936330963102
EMG,Linear SVM,1,48,12,0.5833333333333334,0.5,0.5416666666666666,0.5,0.5047619047619047,0.5571428571428572,0.29814239699997197
EMG,Linear SVM,2,48,12,0.75,0.6666666666666666,0.8055555555555555,0.6666666666666666,0.6746031746031745,0.7202380952380952,0.6047431568147635
EMG,Linear SVM,3,48,12,0.75,0.6666666666666666,0.6746031746031745,0.6666666666666666,0.6632478632478632,0.7282051282051283,0.5936657514041415
