sensor_combination,model,n_samples,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
Gyroscope + EMG,Gradient Boosting,60,189,0.7333333333333333,0.6444444444444445,0.6552287581699346,0.6444444444444445,0.6462590464027246,0.7190692848020434,0.565315618968227
Gyroscope + Accelerometer,Logistic Regression,60,102,0.7,0.6444444444444445,0.6504849251528569,0.6444444444444445,0.6444925116373205,0.6964841378263509,0.5184274289554727
Gyroscope + Accelerometer,Linear SVM,60,102,0.7,0.6333333333333333,0.644949494949495,0.6333333333333333,0.636331569664903,0.6915343915343914,0.5124500385567423
Accelerometer,Logistic Regression,60,51,0.7,0.6333333333333333,0.6385149572649572,0.6333333333333333,0.6347670250896057,0.6938172043010752,0.514500995198741
Accelerometer,RBF SVM,60,51,0.7,0.6222222222222221,0.6393518518518518,0.6222222222222221,0.6196167631651502,0.6800971877584782,0.5113529553508276
Gyroscope,Gradient Boosting,60,51,0.7166666666666667,0.6222222222222222,0.6319444444444445,0.6222222222222222,0.6125207191125844,0.6866632666071657,0.5395637425347116
Accelerometer,Random Forest,60,51,0.6833333333333333,0.6111111111111112,0.617049617049617,0.6111111111111112,0.61247947454844,0.6736453201970444,0.4846670439826017
EMG,XGBoost,60,138,0.6833333333333333,0.6111111111111112,0.6138519924098672,0.6111111111111112,0.6098967820279295,0.6787340619307832,0.4914961339447988
Accelerometer,Linear SVM,60,51,0.6833333333333333,0.6,0.637037037037037,0.6,0.6050505050505051,0.6659090909090909,0.48107320797507674
Accelerometer,Gradient Boosting,60,51,0.65,0.6111111111111112,0.6253246753246753,0.6111111111111112,0.6045479962721342,0.6516868592730662,0.45515761971141605
Accelerometer,XGBoost,60,51,0.6666666666666666,0.6,0.6041666666666666,0.6,0.5997610513739546,0.6594982078853047,0.46097722286464443
Gyroscope + Accelerometer,Gradient Boosting,60,102,0.7,0.6,0.6038961038961038,0.6,0.596816976127321,0.6783819628647214,0.5088621808945922
EMG,Logistic Regression,60,138,0.65,0.5888888888888889,0.6040723981900452,0.5888888888888889,0.59375,0.640625,0.4272307524739402
Accelerometer,k-NN,60,51,0.6666666666666666,0.5888888888888889,0.5980392156862745,0.5888888888888889,0.5907738095238095,0.6540178571428572,0.45479402682709763
Accelerometer + EMG,XGBoost,60,189,0.6666666666666666,0.5888888888888889,0.6067538126361657,0.5888888888888889,0.5868055555555556,0.6510416666666666,0.4582891331950047
All sensors,Gaussian Naive Bayes,60,240,0.6666666666666666,0.5666666666666667,0.6218253968253968,0.5666666666666667,0.5688083735909822,0.6279951690821256,0.4485489630450658
Gyroscope + Accelerometer,Gaussian Naive Bayes,60,102,0.65,0.5666666666666667,0.5595533498759305,0.5666666666666667,0.5623630732038981,0.6430837803127596,0.4368421625454855
EMG,Gradient Boosting,60,138,0.65,0.5666666666666668,0.5697167755991286,0.5666666666666668,0.5590277777777778,0.6302083333333334,0.43051403421348927
EMG,RBF SVM,60,138,0.65,0.5555555555555555,0.5819088319088319,0.5555555555555555,0.5544820182501342,0.6187600644122384,0.4186200167772701
EMG,k-NN,60,138,0.6333333333333333,0.5333333333333333,0.5551378446115288,0.5333333333333333,0.5283828673898344,0.6021695034835522,0.3921702032975356
Gyroscope + EMG,Gaussian Naive Bayes,60,189,0.6166666666666667,0.5111111111111112,0.6195652173913043,0.5111111111111112,0.5147651738040754,0.570284406668846,0.35701071048197414
EMG,Linear SVM,60,138,0.6166666666666667,0.5222222222222223,0.5402930402930403,0.5222222222222223,0.5126981963563674,0.580175821180319,0.36182320342171415
Accelerometer + EMG,Gradient Boosting,60,189,0.6,0.5111111111111111,0.5175282234105764,0.5111111111111111,0.5101495726495726,0.5857371794871795,0.3451971984461374
Accelerometer,Gaussian Naive Bayes,60,51,0.55,0.4888888888888889,0.4903846153846154,0.4888888888888889,0.4867336964111157,0.5614788437369083,0.3004547179570694
EMG,Gaussian Naive Bayes,60,138,0.5833333333333334,0.4666666666666666,0.5833333333333334,0.4666666666666666,0.4615384615384615,0.5256410256410257,0.28924061042487487
